PlayerH VS PlayerG
  Battle 1: PlayerG (7S) defeated PlayerH (3H): PlayerH 25, PlayerG 27
  Battle 27: PlayerD (7D) defeated PlayerC (4D): PlayerD 23, PlayerC 29
  Battle 28: PlayerD (JD) defeated PlayerC (9H): PlayerD 24, PlayerC 28
  War 1: PlayerC (AC) defeated PlayerD (3D): PlayerD 19, PlayerC 33
  War 2: PlayerD (10S) defeated PlayerC (4S): PlayerD 24, PlayerC 28
  Battle 29: PlayerD (QC) defeated PlayerC (10C): PlayerD 25, PlayerC 27
  Battle 30: PlayerD (AS) defeated PlayerC (6H): PlayerD 26, PlayerC 26
  Battle 31: PlayerD (8C) defeated PlayerC (5D): PlayerD 27, PlayerC 25
  Battle 32: PlayerC (JS) defeated PlayerD (7C): PlayerD 26, PlayerC 26
  Battle 33: PlayerD (AD) defeated PlayerC (6D): PlayerD 27, PlayerC 25
  Battle 34: PlayerC (8D) defeated PlayerD (3S): PlayerD 26, PlayerC 26
  Battle 35: PlayerC (QS) defeated PlayerD (3H): PlayerD 25, PlayerC 27
  Battle 36: PlayerD (KH) defeated PlayerC (2S): PlayerD 26, PlayerC 26
  Battle 37: PlayerD (4C) defeated PlayerC (2D): PlayerD 27, PlayerC 25
  Battle 38: PlayerC (KC) defeated PlayerD (5H): PlayerD 26, PlayerC 26
  Battle 39: PlayerC (7H) defeated PlayerD (4D): PlayerD 25, PlayerC 27
  Battle 40: PlayerC (KD) defeated PlayerD (7D): PlayerD 24, PlayerC 28
  Battle 41: PlayerD (JD) defeated PlayerC (9S): PlayerD 25, PlayerC 27
  Battle 42: PlayerD (9H) defeated PlayerC (6S): PlayerD 26, PlayerC 26
  Battle 43: PlayerD (4S) defeated PlayerC (2H): PlayerD 27, PlayerC 25
  Battle 44: PlayerD (10D) defeated PlayerC (8H): PlayerD 28, PlayerC 24
  Battle 45: PlayerD (AH) defeated PlayerC (4H): PlayerD 29, PlayerC 23
  Battle 46: PlayerC (JH) defeated PlayerD (QH): PlayerD 28, PlayerC 24
  Battle 47: PlayerD (6C) defeated PlayerC (3D): PlayerD 29, PlayerC 23
  Battle 48: PlayerD (10S) defeated PlayerC (5C): PlayerD 30, PlayerC 22
  Battle 49: PlayerC (AC) defeated PlayerD (5S): PlayerD 29, PlayerC 23
  Battle 50: PlayerC (QD) defeated PlayerD (3C): PlayerD 28, PlayerC 24
  Battle 51: PlayerD (10H) defeated PlayerC (7S): PlayerD 29, PlayerC 23
  Battle 52: PlayerD (JC) defeated PlayerC (KS): PlayerD 30, PlayerC 22
  Battle 53: PlayerD (10C) defeated PlayerC (9C): PlayerD 31, PlayerC 21
  Battle 54: PlayerD (QC) defeated PlayerC (9D): PlayerD 32, PlayerC 20
  Battle 55: PlayerD (AS) defeated PlayerC (8S): PlayerD 33, PlayerC 19
  Battle 56: PlayerD (6H) defeated PlayerC (2C): PlayerD 34, PlayerC 18
  Battle 57: PlayerC (JS) defeated PlayerD (8C): PlayerD 33, PlayerC 19
  Battle 58: PlayerC (7C) defeated PlayerD (5D): PlayerD 32, PlayerC 20
  Battle 59: PlayerD (6D) defeated PlayerC (3S): PlayerD 33, PlayerC 19
  Battle 60: PlayerD (AD) defeated PlayerC (8D): PlayerD 34, PlayerC 18
  Battle 61: PlayerC (3H) defeated PlayerD (2S): PlayerD 33, PlayerC 19
  Battle 62: PlayerC (QS) defeated PlayerD (KH): PlayerD 32, PlayerC 20
  Battle 63: PlayerC (5H) defeated PlayerD (2D): PlayerD 31, PlayerC 21
  Battle 64: PlayerC (KC) defeated PlayerD (4C): PlayerD 30, PlayerC 22
  Battle 65: PlayerD (9S) defeated PlayerC (7H): PlayerD 31, PlayerC 21
  Battle 66: PlayerD (JD) defeated PlayerC (4D): PlayerD 32, PlayerC 20
  Battle 67: PlayerC (KD) defeated PlayerD (9H): PlayerD 31, PlayerC 21
  Battle 68: PlayerC (7D) defeated PlayerD (6S): PlayerD 30, PlayerC 22
  Battle 69: PlayerC (JH) defeated PlayerD (2H): PlayerD 29, PlayerC 23
  Battle 70: PlayerC (QH) defeated PlayerD (4S): PlayerD 28, PlayerC 24
  Battle 71: PlayerD (10D) defeated PlayerC (5S): PlayerD 29, PlayerC 23
  Battle 72: PlayerC (AC) defeated PlayerD (8H): PlayerD 28, PlayerC 24
  Battle 73: PlayerD (AH) defeated PlayerC (QD): PlayerD 29, PlayerC 23
  Battle 74: PlayerD (4H) defeated PlayerC (3C): PlayerD 30, PlayerC 22
  Battle 75: PlayerC (8C) defeated PlayerD (3D): PlayerD 29, PlayerC 23
  Battle 76: PlayerC (JS) defeated PlayerD (6C): PlayerD 28, PlayerC 24
  Battle 77: PlayerC (7C) defeated PlayerD (5C): PlayerD 27, PlayerC 25
  Battle 78: PlayerD (10S) defeated PlayerC (5D): PlayerD 28, PlayerC 24
  Battle 79: PlayerD (7S) defeated PlayerC (2S): PlayerD 29, PlayerC 23
  Battle 80: PlayerD (10H) defeated PlayerC (3H): PlayerD 30, PlayerC 22
  Battle 81: PlayerD (JC) defeated PlayerC (QS): PlayerD 31, PlayerC 21
  War 3: PlayerC (KC) defeated PlayerD (9D): PlayerD 26, PlayerC 26
  Battle 82: PlayerD (AS) defeated PlayerC (9H): PlayerD 27, PlayerC 25
  Battle 83: PlayerC (KD) defeated PlayerD (8S): PlayerD 26, PlayerC 26
  Battle 84: PlayerC (7D) defeated PlayerD (2C): PlayerD 25, PlayerC 27
  War 4: PlayerD (AD) defeated PlayerC (QH): PlayerD 30, PlayerC 22
  Battle 85: PlayerC (8H) defeated PlayerD (7H): PlayerD 29, PlayerC 23
  Battle 86: PlayerC (AC) defeated PlayerD (9S): PlayerD 28, PlayerC 24
  Battle 87: PlayerD (JD) defeated PlayerC (8C): PlayerD 29, PlayerC 23
  Battle 88: PlayerD (4D) defeated PlayerC (3D): PlayerD 30, PlayerC 22
  Battle 89: PlayerC (JS) defeated PlayerD (10D): PlayerD 29, PlayerC 23
  Battle 90: PlayerC (6C) defeated PlayerD (5S): PlayerD 28, PlayerC 24
  Battle 91: PlayerD (AH) defeated PlayerC (5C): PlayerD 29, PlayerC 23
  Battle 92: PlayerD (QD) defeated PlayerC (7C): PlayerD 30, PlayerC 22
  Battle 93: PlayerC (9C) defeated PlayerD (4H): PlayerD 29, PlayerC 23
  Battle 94: PlayerC (QC) defeated PlayerD (3C): PlayerD 28, PlayerC 24
  Battle 95: PlayerD (5D) defeated PlayerC (4C): PlayerD 29, PlayerC 23
  War 5: PlayerC (KC) defeated PlayerD (10H): PlayerD 24, PlayerC 28
  Battle 96: PlayerD (QS) defeated PlayerC (5H): PlayerD 25, PlayerC 27
  Battle 97: PlayerD (JC) defeated PlayerC (2D): PlayerD 26, PlayerC 26
  Battle 98: PlayerD (AS) defeated PlayerC (KD): PlayerD 27, PlayerC 25
  Battle 99: PlayerD (9H) defeated PlayerC (8S): PlayerD 28, PlayerC 24
  Battle 100: PlayerD (3S) defeated PlayerC (2C): PlayerD 29, PlayerC 23
  Battle 101: PlayerD (QH) defeated PlayerC (7D): PlayerD 30, PlayerC 22
  Battle 102: PlayerC (8H) defeated PlayerD (6H): PlayerD 29, PlayerC 23
  Battle 103: PlayerC (7H) defeated PlayerD (2H): PlayerD 28, PlayerC 24
  Battle 104: PlayerD (AD) defeated PlayerC (9S): PlayerD 29, PlayerC 23
  Battle 105: PlayerC (AC) defeated PlayerD (6S): PlayerD 28, PlayerC 24
  Battle 106: PlayerC (10D) defeated PlayerD (8D): PlayerD 27, PlayerC 25
  Battle 107: PlayerC (JS) defeated PlayerD (6D): PlayerD 26, PlayerC 26
  Battle 108: PlayerD (JH) defeated PlayerC (5S): PlayerD 27, PlayerC 25
  Battle 109: PlayerC (6C) defeated PlayerD (4S): PlayerD 26, PlayerC 26
  Battle 110: PlayerC (9C) defeated PlayerD (8C): PlayerD 25, PlayerC 27
  Battle 111: PlayerD (JD) defeated PlayerC (4H): PlayerD 26, PlayerC 26
  War 6: PlayerC (9D) defeated PlayerD (7C): PlayerD 21, PlayerC 31
  Battle 112: PlayerD (QD) defeated PlayerC (10C): PlayerD 22, PlayerC 30
  Battle 113: PlayerC (KS) defeated PlayerD (5D): PlayerD 21, PlayerC 31
  Battle 114: PlayerD (4C) defeated PlayerC (2S): PlayerD 22, PlayerC 30
  Battle 115: PlayerC (7S) defeated PlayerD (5H): PlayerD 21, PlayerC 31
  Battle 116: PlayerD (QS) defeated PlayerC (10H): PlayerD 22, PlayerC 30
  Battle 117: PlayerD (JC) defeated PlayerC (KC): PlayerD 23, PlayerC 29
  Battle 118: PlayerC (KH) defeated PlayerD (2D): PlayerD 22, PlayerC 30
  Battle 119: PlayerD (AS) defeated PlayerC (8H): PlayerD 23, PlayerC 29
  Battle 120: PlayerD (KD) defeated PlayerC (6H): PlayerD 24, PlayerC 28
  Battle 121: PlayerD (9H) defeated PlayerC (2H): PlayerD 25, PlayerC 27
  Battle 122: PlayerD (8S) defeated PlayerC (7H): PlayerD 26, PlayerC 26
  Battle 123: PlayerC (6S) defeated PlayerD (3S): PlayerD 25, PlayerC 27
  Battle 124: PlayerC (AC) defeated PlayerD (2C): PlayerD 24, PlayerC 28
  Battle 125: PlayerC (10D) defeated PlayerD (7D): PlayerD 23, PlayerC 29
  Battle 126: PlayerD (QH) defeated PlayerC (8D): PlayerD 24, PlayerC 28
  Battle 127: PlayerD (AD) defeated PlayerC (6D): PlayerD 25, PlayerC 27
  Battle 128: PlayerC (JS) defeated PlayerD (9S): PlayerD 24, PlayerC 28
  Battle 129: PlayerC (6C) defeated PlayerD (5S): PlayerD 23, PlayerC 29
  Battle 130: PlayerD (JH) defeated PlayerC (4S): PlayerD 24, PlayerC 28
  Battle 131: PlayerC (8C) defeated PlayerD (4H): PlayerD 23, PlayerC 29
  Battle 132: PlayerD (JD) defeated PlayerC (9C): PlayerD 24, PlayerC 28
  Battle 133: PlayerD (10C) defeated PlayerC (9D): PlayerD 25, PlayerC 27
  Battle 134: PlayerC (AH) defeated PlayerD (QD): PlayerD 24, PlayerC 28
  Battle 135: PlayerC (QC) defeated PlayerD (2S): PlayerD 23, PlayerC 29
  Battle 136: PlayerC (10S) defeated PlayerD (4C): PlayerD 22, PlayerC 30
  Battle 137: PlayerD (10H) defeated PlayerC (3C): PlayerD 23, PlayerC 29
  Battle 138: PlayerD (QS) defeated PlayerC (7C): PlayerD 24, PlayerC 28
  Battle 139: PlayerD (KC) defeated PlayerC (5C): PlayerD 25, PlayerC 27
  Battle 140: PlayerD (JC) defeated PlayerC (3D): PlayerD 26, PlayerC 26
  Battle 141: PlayerD (AS) defeated PlayerC (3H): PlayerD 27, PlayerC 25
  Battle 142: PlayerD (8H) defeated PlayerC (4D): PlayerD 28, PlayerC 24
  Battle 143: PlayerC (KS) defeated PlayerD (6H): PlayerD 27, PlayerC 25
  Battle 144: PlayerD (KD) defeated PlayerC (5D): PlayerD 28, PlayerC 24
  Battle 145: PlayerC (7S) defeated PlayerD (2H): PlayerD 27, PlayerC 25
  Battle 146: PlayerD (9H) defeated PlayerC (5H): PlayerD 28, PlayerC 24
  Battle 147: PlayerC (KH) defeated PlayerD (7H): PlayerD 27, PlayerC 25
  Battle 148: PlayerD (8S) defeated PlayerC (2D): PlayerD 28, PlayerC 24
  Battle 149: PlayerD (QH) defeated PlayerC (6S): PlayerD 29, PlayerC 23
  Battle 150: PlayerD (8D) defeated PlayerC (3S): PlayerD 30, PlayerC 22
  War 7: PlayerD (JD) defeated PlayerC (9S): PlayerD 35, PlayerC 17
  Battle 151: PlayerC (JS) defeated PlayerD (9C): PlayerD 34, PlayerC 18
  Battle 152: PlayerD (9D) defeated PlayerC (6C): PlayerD 35, PlayerC 17
  Battle 153: PlayerD (10C) defeated PlayerC (5S): PlayerD 36, PlayerC 16
  Battle 154: PlayerC (4H) defeated PlayerD (3C): PlayerD 35, PlayerC 17
  Battle 155: PlayerD (10H) defeated PlayerC (8C): PlayerD 36, PlayerC 16
  Battle 156: PlayerC (QD) defeated PlayerD (7C): PlayerD 35, PlayerC 17
  Battle 157: PlayerC (AH) defeated PlayerD (QS): PlayerD 34, PlayerC 18
  Battle 158: PlayerC (QC) defeated PlayerD (KC): PlayerD 33, PlayerC 19
  Battle 159: PlayerD (5C) defeated PlayerC (2S): PlayerD 34, PlayerC 18
  Battle 160: PlayerC (10S) defeated PlayerD (3D): PlayerD 33, PlayerC 19
  Battle 161: PlayerD (JC) defeated PlayerC (4C): PlayerD 34, PlayerC 18
  Battle 162: PlayerD (AS) defeated PlayerC (KS): PlayerD 35, PlayerC 17
  Battle 163: PlayerC (6H) defeated PlayerD (3H): PlayerD 34, PlayerC 18
  Battle 164: PlayerD (8H) defeated PlayerC (2H): PlayerD 35, PlayerC 17
  Battle 165: PlayerC (7S) defeated PlayerD (4D): PlayerD 34, PlayerC 18
  Battle 166: PlayerD (KD) defeated PlayerC (7H): PlayerD 35, PlayerC 17
  Battle 167: PlayerC (KH) defeated PlayerD (5D): PlayerD 34, PlayerC 18
  War 9: PlayerD (JH) defeated PlayerC (KC): PlayerD 43, PlayerC 9
  Battle 168: PlayerC (QC) defeated PlayerD (7D): PlayerD 42, PlayerC 10
  War 10: PlayerD (AD) defeated PlayerC (4D): PlayerD 47, PlayerC 5
  Battle 169: PlayerC (7S) defeated PlayerD (2C): PlayerD 46, PlayerC 6
  Battle 170: PlayerD (9S) defeated PlayerC (5D): PlayerD 47, PlayerC 5
  Battle 171: PlayerD (AC) defeated PlayerC (KH): PlayerD 48, PlayerC 4
  Battle 172: PlayerD (9D) defeated PlayerC (7D): PlayerD 49, PlayerC 3
  Battle 173: PlayerC (QC) defeated PlayerD (6C): PlayerD 48, PlayerC 4
  Battle 174: PlayerD (10C) defeated PlayerC (2C): PlayerD 49, PlayerC 3
  Battle 175: PlayerC (7S) defeated PlayerD (5S): PlayerD 48, PlayerC 4
  Battle 176: PlayerD (10H) defeated PlayerC (6C): PlayerD 49, PlayerC 3
  Battle 177: PlayerC (QC) defeated PlayerD (8C): PlayerD 48, PlayerC 4
  War 11: PlayerD (AS) defeated PlayerC (8C): PlayerD 52, PlayerC 0

PlayerD (1) DEFEATED PlayerC in 177 battles and 11 wars 

PlayerB VS PlayerA
  Battle 1: PlayerB (AC) defeated PlayerA (2C): PlayerB 27, PlayerA 25
  Battle 2: PlayerA (AD) defeated PlayerB (7H): PlayerB 26, PlayerA 26
  Battle 3: PlayerA (QD) defeated PlayerB (9H): PlayerB 25, PlayerA 27
  Battle 4: PlayerB (JS) defeated PlayerA (6C): PlayerB 26, PlayerA 26
  Battle 5: PlayerA (KD) defeated PlayerB (6H): PlayerB 25, PlayerA 27
  Battle 6: PlayerA (10H) defeated PlayerB (7C): PlayerB 24, PlayerA 28
  Battle 7: PlayerA (KH) defeated PlayerB (2D): PlayerB 23, PlayerA 29
  Battle 8: PlayerA (10C) defeated PlayerB (8D): PlayerB 22, PlayerA 30
  Battle 9: PlayerB (10S) defeated PlayerA (4C): PlayerB 23, PlayerA 29
  Battle 10: PlayerA (7D) defeated PlayerB (5H): PlayerB 22, PlayerA 30
  Battle 11: PlayerA (KC) defeated PlayerB (9S): PlayerB 21, PlayerA 31
  Battle 12: PlayerB (AS) defeated PlayerA (9C): PlayerB 22, PlayerA 30
  Battle 13: PlayerB (QC) defeated PlayerA (10D): PlayerB 23, PlayerA 29
  Battle 14: PlayerA (7S) defeated PlayerB (3S): PlayerB 22, PlayerA 30
  War 1: PlayerB (JC) defeated PlayerA (8C): PlayerB 27, PlayerA 25
  Battle 15: PlayerA (5S) defeated PlayerB (3C): PlayerB 26, PlayerA 26
  Battle 16: PlayerB (JH) defeated PlayerA (5D): PlayerB 27, PlayerA 25
  Battle 17: PlayerB (JD) defeated PlayerA (3D): PlayerB 28, PlayerA 24
  Battle 18: PlayerA (8H) defeated PlayerB (3H): PlayerB 27, PlayerA 25
  Battle 19: PlayerA (8S) defeated PlayerB (4S): PlayerB 26, PlayerA 26
  Battle 20: PlayerB (AH) defeated PlayerA (5C): PlayerB 27, PlayerA 25
  Battle 21: PlayerB (KS) defeated PlayerA (4H): PlayerB 28, PlayerA 24
  Battle 22: PlayerA (7H) defeated PlayerB (2C): PlayerB 27, PlayerA 25
  War 2: PlayerA (KD) defeated PlayerB (10S): PlayerB 22, PlayerA 30
  Battle 23: PlayerB (9C) defeated PlayerA (7C): PlayerB 23, PlayerA 29
  Battle 24: PlayerB (AS) defeated PlayerA (10H): PlayerB 24, PlayerA 28
  Battle 25: PlayerB (10D) defeated PlayerA (2D): PlayerB 25, PlayerA 27
  Battle 26: PlayerB (QC) defeated PlayerA (KH): PlayerB 26, PlayerA 26
  Battle 27: PlayerB (QH) defeated PlayerA (10C): PlayerB 27, PlayerA 25
  War 3: PlayerB (JC) defeated PlayerA (KC): PlayerB 32, PlayerA 20
  Battle 28: PlayerB (6D) defeated PlayerA (3S): PlayerB 33, PlayerA 19
  Battle 29: PlayerA (7S) defeated PlayerB (4D): PlayerB 32, PlayerA 20
  Battle 30: PlayerA (5S) defeated PlayerB (2S): PlayerB 31, PlayerA 21
  Battle 31: PlayerB (QS) defeated PlayerA (3C): PlayerB 32, PlayerA 20
  Battle 32: PlayerA (8H) defeated PlayerB (5D): PlayerB 31, PlayerA 21
  Battle 33: PlayerB (JH) defeated PlayerA (3H): PlayerB 32, PlayerA 20
  Battle 34: PlayerB (JD) defeated PlayerA (8S): PlayerB 33, PlayerA 19
  Battle 35: PlayerA (4S) defeated PlayerB (3D): PlayerB 32, PlayerA 20
  Battle 36: PlayerB (AH) defeated PlayerA (2C): PlayerB 33, PlayerA 19
  Battle 37: PlayerA (7H) defeated PlayerB (5C): PlayerB 32, PlayerA 20
  Battle 38: PlayerB (KS) defeated PlayerA (6H): PlayerB 33, PlayerA 19
  Battle 39: PlayerA (9H) defeated PlayerB (4H): PlayerB 32, PlayerA 20
  Battle 40: PlayerB (9C) defeated PlayerA (4C): PlayerB 33, PlayerA 19
  Battle 41: PlayerB (7C) defeated PlayerA (6C): PlayerB 34, PlayerA 18
  Battle 42: PlayerA (KD) defeated PlayerB (10H): PlayerB 33, PlayerA 19
  Battle 43: PlayerB (AS) defeated PlayerA (QD): PlayerB 34, PlayerA 18
  War 4: PlayerB (QH) defeated PlayerA (4D): PlayerB 39, PlayerA 13
  Battle 44: PlayerB (10C) defeated PlayerA (7S): PlayerB 40, PlayerA 12
  Battle 45: PlayerB (JC) defeated PlayerA (2S): PlayerB 41, PlayerA 11
  Battle 46: PlayerB (7D) defeated PlayerA (5S): PlayerB 42, PlayerA 10
  Battle 47: PlayerB (KC) defeated PlayerA (8H): PlayerB 43, PlayerA 9
  Battle 48: PlayerB (8D) defeated PlayerA (5D): PlayerB 44, PlayerA 8
  Battle 49: PlayerB (5H) defeated PlayerA (3D): PlayerB 45, PlayerA 7
  Battle 50: PlayerB (9D) defeated PlayerA (4S): PlayerB 46, PlayerA 6
  Battle 51: PlayerB (8C) defeated PlayerA (7H): PlayerB 47, PlayerA 5
  Battle 52: PlayerA (5C) defeated PlayerB (2H): PlayerB 46, PlayerA 6
  Battle 53: PlayerA (9H) defeated PlayerB (6S): PlayerB 45, PlayerA 7
  Battle 54: PlayerB (9S) defeated PlayerA (4H): PlayerB 46, PlayerA 6
  Battle 55: PlayerA (10H) defeated PlayerB (3S): PlayerB 45, PlayerA 7
  Battle 56: PlayerA (KD) defeated PlayerB (6D): PlayerB 44, PlayerA 8
  Battle 57: PlayerA (5C) defeated PlayerB (3C): PlayerB 43, PlayerA 9
  Battle 58: PlayerB (QS) defeated PlayerA (2H): PlayerB 44, PlayerA 8
  Battle 59: PlayerB (JH) defeated PlayerA (6S): PlayerB 45, PlayerA 7
  Battle 60: PlayerA (9H) defeated PlayerB (3H): PlayerB 44, PlayerA 8
  Battle 61: PlayerB (JD) defeated PlayerA (3S): PlayerB 45, PlayerA 7
  Battle 62: PlayerA (10H) defeated PlayerB (8S): PlayerB 44, PlayerA 8
  Battle 63: PlayerA (6D) defeated PlayerB (2C): PlayerB 43, PlayerA 9
  Battle 64: PlayerB (AH) defeated PlayerA (KD): PlayerB 44, PlayerA 8
  Battle 65: PlayerB (6H) defeated PlayerA (5C): PlayerB 45, PlayerA 7
  Battle 66: PlayerB (KS) defeated PlayerA (3C): PlayerB 46, PlayerA 6
  Battle 67: PlayerA (9H) defeated PlayerB (4C): PlayerB 45, PlayerA 7
  Battle 68: PlayerB (9C) defeated PlayerA (3H): PlayerB 46, PlayerA 6
  Battle 69: PlayerA (8S) defeated PlayerB (6C): PlayerB 45, PlayerA 7
  Battle 70: PlayerA (10H) defeated PlayerB (7C): PlayerB 44, PlayerA 8
  Battle 71: PlayerB (QD) defeated PlayerA (2C): PlayerB 45, PlayerA 7
  Battle 72: PlayerB (AS) defeated PlayerA (6D): PlayerB 46, PlayerA 6
  Battle 73: PlayerB (JS) defeated PlayerA (4C): PlayerB 47, PlayerA 5
  Battle 74: PlayerB (10S) defeated PlayerA (9H): PlayerB 48, PlayerA 4
  Battle 75: PlayerB (10D) defeated PlayerA (8S): PlayerB 49, PlayerA 3
  Battle 76: PlayerB (QH) defeated PlayerA (6C): PlayerB 50, PlayerA 2
  Battle 77: PlayerA (10H) defeated PlayerB (2D): PlayerB 49, PlayerA 3
  Battle 78: PlayerB (AD) defeated PlayerA (7C): PlayerB 50, PlayerA 2
  Battle 79: PlayerB (QC) defeated PlayerA (2D): PlayerB 51, PlayerA 1
  Battle 80: PlayerA (10H) defeated PlayerB (4D): PlayerB 50, PlayerA 2
  Battle 81: PlayerB (KH) defeated PlayerA (10H): PlayerB 51, PlayerA 1
  Battle 82: PlayerB (AC) defeated PlayerA (4D): PlayerB 52, PlayerA 0

PlayerB (1) DEFEATED PlayerA in 82 battles and 4 wars 

PlayerG VS PlayerE
  Battle 1: PlayerE (10C) defeated PlayerG (3H): PlayerG 25, PlayerE 27
  Battle 2: PlayerG (QH) defeated PlayerE (7S): PlayerG 26, PlayerE 26
  Battle 3: PlayerG (QC) defeated PlayerE (6H): PlayerG 27, PlayerE 25
  Battle 4: PlayerG (AS) defeated PlayerE (6S): PlayerG 28, PlayerE 24
  Battle 5: PlayerG (4H) defeated PlayerE (2S): PlayerG 29, PlayerE 23
  Battle 6: PlayerE (JC) defeated PlayerG (8D): PlayerG 28, PlayerE 24
  Battle 7: PlayerE (KC) defeated PlayerG (4C): PlayerG 27, PlayerE 25
  Battle 8: PlayerE (10S) defeated PlayerG (2C): PlayerG 26, PlayerE 26
  Battle 9: PlayerE (10H) defeated PlayerG (3C): PlayerG 25, PlayerE 27
  Battle 10: PlayerG (9H) defeated PlayerE (8C): PlayerG 26, PlayerE 26
  Battle 11: PlayerE (8H) defeated PlayerG (5S): PlayerG 25, PlayerE 27
  Battle 12: PlayerE (9D) defeated PlayerG (6D): PlayerG 24, PlayerE 28
  Battle 13: PlayerG (JH) defeated PlayerE (6C): PlayerG 25, PlayerE 27
  Battle 14: PlayerG (9C) defeated PlayerE (3D): PlayerG 26, PlayerE 26
  Battle 15: PlayerE (KH) defeated PlayerG (4S): PlayerG 25, PlayerE 27
  Battle 16: PlayerG (AD) defeated PlayerE (5C): PlayerG 26, PlayerE 26
  Battle 17: PlayerG (JS) defeated PlayerE (2D): PlayerG 27, PlayerE 25
  Battle 18: PlayerG (AH) defeated PlayerE (5H): PlayerG 28, PlayerE 24
  War 1: PlayerE (AC) defeated PlayerG (2H): PlayerG 23, PlayerE 29
  Battle 19: PlayerE (QD) defeated PlayerG (3S): PlayerG 22, PlayerE 30
  Battle 20: PlayerG (QS) defeated PlayerE (7D): PlayerG 23, PlayerE 29
  War 2: PlayerE (8D) defeated PlayerG (6H): PlayerG 18, PlayerE 34
  Battle 21: PlayerG (6S) defeated PlayerE (4C): PlayerG 19, PlayerE 33
  Battle 22: PlayerG (AS) defeated PlayerE (KC): PlayerG 20, PlayerE 32
  Battle 23: PlayerG (4H) defeated PlayerE (2C): PlayerG 21, PlayerE 31
  Battle 24: PlayerE (10S) defeated PlayerG (2S): PlayerG 20, PlayerE 32
  Battle 25: PlayerG (9H) defeated PlayerE (3C): PlayerG 21, PlayerE 31
  Battle 26: PlayerE (10H) defeated PlayerG (8C): PlayerG 20, PlayerE 32
  Battle 27: PlayerG (JH) defeated PlayerE (8H): PlayerG 21, PlayerE 31
  Battle 28: PlayerG (6C) defeated PlayerE (5S): PlayerG 22, PlayerE 30
  Battle 29: PlayerE (9D) defeated PlayerG (3D): PlayerG 21, PlayerE 31
  Battle 30: PlayerG (9C) defeated PlayerE (6D): PlayerG 22, PlayerE 30
  Battle 31: PlayerG (AD) defeated PlayerE (KH): PlayerG 23, PlayerE 29
  Battle 32: PlayerG (5C) defeated PlayerE (4S): PlayerG 24, PlayerE 28
  Battle 33: PlayerE (10D) defeated PlayerG (2D): PlayerG 23, PlayerE 29
  Battle 34: PlayerG (JS) defeated PlayerE (2H): PlayerG 24, PlayerE 28
  Battle 35: PlayerE (9S) defeated PlayerG (5H): PlayerG 23, PlayerE 29
  War 3: PlayerG (6S) defeated PlayerE (4D): PlayerG 28, PlayerE 24
  Battle 36: PlayerE (JD) defeated PlayerG (KC): PlayerG 27, PlayerE 25
  Battle 37: PlayerG (AS) defeated PlayerE (KD): PlayerG 28, PlayerE 24
  Battle 38: PlayerE (QD) defeated PlayerG (2C): PlayerG 27, PlayerE 25
  Battle 39: PlayerG (4H) defeated PlayerE (3S): PlayerG 28, PlayerE 24
  Battle 40: PlayerE (QH) defeated PlayerG (3C): PlayerG 27, PlayerE 25
  Battle 41: PlayerE (10C) defeated PlayerG (9H): PlayerG 26, PlayerE 26
  Battle 42: PlayerG (JH) defeated PlayerE (7H): PlayerG 27, PlayerE 25
  Battle 43: PlayerE (JC) defeated PlayerG (8H): PlayerG 26, PlayerE 26
  Battle 44: PlayerG (5S) defeated PlayerE (3H): PlayerG 27, PlayerE 25
  Battle 45: PlayerE (7S) defeated PlayerG (6C): PlayerG 26, PlayerE 26
  Battle 46: PlayerG (9C) defeated PlayerE (6H): PlayerG 27, PlayerE 25
  Battle 47: PlayerE (7C) defeated PlayerG (6D): PlayerG 26, PlayerE 26
  Battle 48: PlayerE (QC) defeated PlayerG (KH): PlayerG 25, PlayerE 27
  Battle 49: PlayerG (AD) defeated PlayerE (8D): PlayerG 26, PlayerE 26
  Battle 50: PlayerE (10S) defeated PlayerG (5C): PlayerG 25, PlayerE 27
  Battle 51: PlayerG (4S) defeated PlayerE (2S): PlayerG 26, PlayerE 26
  Battle 52: PlayerG (JS) defeated PlayerE (8C): PlayerG 27, PlayerE 25
  Battle 53: PlayerE (10H) defeated PlayerG (2H): PlayerG 26, PlayerE 26
  Battle 54: PlayerG (6S) defeated PlayerE (3D): PlayerG 27, PlayerE 25
  Battle 55: PlayerE (9D) defeated PlayerG (7D): PlayerG 26, PlayerE 26
  Battle 56: PlayerG (8S) defeated PlayerE (2D): PlayerG 27, PlayerE 25
  Battle 57: PlayerE (10D) defeated PlayerG (5D): PlayerG 26, PlayerE 26
  Battle 58: PlayerG (KS) defeated PlayerE (9S): PlayerG 27, PlayerE 25
  Battle 59: PlayerE (5H) defeated PlayerG (4C): PlayerG 26, PlayerE 26
  Battle 60: PlayerE (JD) defeated PlayerG (4D): PlayerG 25, PlayerE 27
  Battle 61: PlayerG (AC) defeated PlayerE (KC): PlayerG 26, PlayerE 26
  War 4: PlayerE (9H) defeated PlayerG (3S): PlayerG 21, PlayerE 31
  Battle 62: PlayerE (10C) defeated PlayerG (4H): PlayerG 20, PlayerE 32
  War 5: PlayerG (9C) defeated PlayerE (6D): PlayerG 25, PlayerE 27
  Battle 63: PlayerE (7C) defeated PlayerG (6H): PlayerG 24, PlayerE 28
